ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,TriggersEnd,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
1336,Ex-{Tier1} Champion,PSG_20001036,Ex-{Tier1} Champion,I reached the top...it was beautiful.,PSG_20001060,"I reached the top...it was beautiful.",Permanent,,,,Trait = 275,100,,,,,,,,,,,,,,,,,,,,40,20,24,-16,10,2,,,,,600,
1337,Ex-{Tier2GT} Champion,PSG_20001037,Ex-{Tier2GT} Champion,...and what a step it was.,PSG_20001057,"...and what a step it was.",Permanent,,,,Trait = 333,100,,,,,,,,,,,,,,,,,,,,16,20,10,-6,10,2,,,,,160,
1338,Ex-{Tier1GT} Champion,PSG_20001038,Ex-{Tier1GT} Champion,"I drove 5,000 miles, and Ill drive 5,000 more.",PSG_20001058,"I drove 5,000 miles, and I'll drive 5,000 more.",Permanent,,,,Trait = 332,100,,,,,,,,,,,,,,,,,,,,32,20,20,-14,10,2,,,,,400,
1339,Race Of Champions,PSG_20001039,Race Of Champions,I feel honoured to have been invited!,PSG_20001040,"I feel honoured to have been invited!",Temp,,8,,Trait = 275||276||277||332||333||334||335||335||337||338,75,1340,,1339,Source = RoC,,PlayerDriverOnly,,,,,,,,,,,,,,15,,,,,,,,,,,
1340,Race Of Champions Champion,PSG_20001041,Race Of Champions Champion,I beat the best of the best...IM UNSTOPPABLE!,PSG_20001042,"I beat the best of the best...I'M UNSTOPPABLE!",Permanent,,,,Trait = 1339,5,,,,Source = RoCChamp,,PlayerDriverOnly,,,,,,,,,,,,,,25,,,,,1,,,,,,
1341,Hall Of Fame,PSG_20001043,Hall Of Fame,Forever to be remembered...,PSG_20001056,"Forever to be remembered...",Permanent,,,,Trait = 1336||1338,5,,,,Source = HoF,,,,,,,,,,,,,,,,50,30,,,,,,,,,,
1342,Building On Success,PSG_20001044,Building On Success,There is more potential within me!,PSG_20001045,"There is more potential within me!",Temp,,30-50,,Trait = 275||276||277||332||333,50,,,,Source = BuildingSuccess,,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,2,25,,,,,
1343,Disappointed,PSG_20001048,Disappointed,What?! I cant believe you said No...,PSG_20001049,"What?! I can't believe you said No...",Temp,Yes,12,,,,1344,,183; 1301,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,
1344,Resentful,PSG_20001050,Resentful,I cant even look you in the eyes.,PSG_20001051,"I can't even look you in the eyes.",Temp,,30-50,,Trait = 1343,25,,,183; 1301,Source = Resentful,,PlayerDriverOnly,,,,,,,,,,,WillNotRenewContract,,PSG_10011412,,-20,,,,,,,,,,
2345,Rusty at Guildford,PSG_20002000,Rusty at Guildford,I can never find the extra tenths here!,PSG_20002003,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2345,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Guildford,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2346,Rusty at Ardennes,PSG_20002002,Rusty at Ardennes,I can never find the extra tenths here!,PSG_20002005,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2346,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Ardennes,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2347,Rusty at Phoenix,PSG_20002004,Rusty at Phoenix,I can never find the extra tenths here!,PSG_20002007,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2347,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Phoenix,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2348,Rusty at Yokohama,PSG_20002006,Rusty at Yokohama,I can never find the extra tenths here!,PSG_20002009,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2348,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Yokohama,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2349,Rusty at Munich,PSG_20002008,Rusty at Munich,I can never find the extra tenths here!,PSG_20002011,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2349,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Munich,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2350,Rusty at Cape Town,PSG_20002010,Rusty at Cape Town,I can never find the extra tenths here!,PSG_20002013,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2350,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,CapeTown,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2351,Rusty at Doha,PSG_20002012,Rusty at Doha,I can never find the extra tenths here!,PSG_20002015,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2351,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Doha,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2352,Rusty at Milan,PSG_20002014,Rusty at Milan,I can never find the extra tenths here!,PSG_20002017,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2352,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Milan,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2353,Rusty at Singapore,PSG_20002016,Rusty at Singapore,I can never find the extra tenths here!,PSG_20002019,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2353,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Singapore,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2354,Rusty at Beijing,PSG_20002018,Rusty at Beijing,I can never find the extra tenths here!,PSG_20002021,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2354,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Beijing,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2355,Rusty at Dubai,PSG_20002020,Rusty at Dubai,I can never find the extra tenths here!,PSG_20002023,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2355,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Dubai,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2356,Rusty at Tondela,PSG_20002022,Rusty at Tondela,I can never find the extra tenths here!,PSG_20002025,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2356,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Tondela,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2357,Rusty at Rio De Janeiro,PSG_20002024,Rusty at Rio De Janeiro,I can never find the extra tenths here!,PSG_20002027,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2357,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,RioDeJaneiro,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2358,Rusty at Black Sea,PSG_20002026,Rusty at Black Sea,I can never find the extra tenths here!,PSG_20002029,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2358,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,BlackSea,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2359,Rusty at Sydney,PSG_20002028,Rusty at Sydney,I can never find the extra tenths here!,PSG_20002031,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2359,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Sydney,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
2360,Rusty at Vancouver,PSG_20002030,Rusty at Vancouver,I can never find the extra tenths here!,PSG_20002033,"Which way do I leave the pits, again?",Temp,,30-50,,,,,,2360,Source = RaceExpert,,PlayerDriverOnly,-7,,,,,,,,,,Vancouver,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
3000,No Way Would I Sign With You,PSG_20003000,No Way Would I Sign With You,Not gonna happen!,PSG_20003001,Not gonna happen!,Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = Offended,,,,,,,,,,,,,OffendedByInterview,Driver won't even discuss terms with you.,PSG_10011412,,,,,,,,,,,,
3001,Thanks But No Thanks,PSG_20003002,Thanks But No Thanks,"Sorry, my future leads elsewhere. ",PSG_20003003,"Sorry, my future leads elsewhere. ",Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = Offended,,,,,,,,,,,,,OffendedByInterview,Driver won't even discuss terms with you.,PSG_10011412,,,,,,,,,,,,
3002,"Call me, Maybe",PSG_20003004,"Call me, Maybe","Ill consider moving to your team, but Id want a big payday!",PSG_20003005,"Ill consider moving to your team, but Id want a big payday!",Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,300,
3003,Uncertain Future,PSG_20003006,Uncertain Future,I really am distracted as I dont know where I want to drive next season,PSG_20003007,I really am distracted as I dont know where I want to drive next season,Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,-5,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,,
3004,I might be interested,PSG_20003008,I might be interested,"Yeah, lets discuss terms. ",PSG_20003009,"Yeah, lets discuss terms. ",Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,,
3005,"Yeah, I'll sign. ",PSG_20003010,"Yeah, I'll sign. ",I want just the right deal though,PSG_20003011,I want just the right deal though,Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,,4
3006,I really think a move ,PSG_20003012,I really think a move ,I really think this is a good career move for me!,PSG_20003013,I really think this is a good career move for me!,Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,-100,
3007,I'd be delighted to sign with you!,PSG_20003014,I'd be delighted to sign with you!,"Seasiously, Ill take a massive paycut!",PSG_20003015,"Seasiously, Ill take a massive paycut!",Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,-300,
3008,I'd be delighted to sign with you!,PSG_20003016,I'd be delighted to sign with you!,YES! Ill even find Sponsorship,PSG_20003017,YES! Ill even find Sponsorship,Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,,
3009,I'd be delighted to sign with you!,PSG_20003018,I'd be delighted to sign with you!,YES! Ill even find investment!,PSG_20003019,YES! Ill even find investment!,Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,,
3010,I'd be delighted to sign with you!,PSG_20003020,I'd be delighted to sign with you!,YES! Ill even find investment!,PSG_20003021,YES! Ill even find investment!,Temp,,30-60,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,Source = ButteredUp,,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,,
3011,That's fine,PSG_20003022,That's fine,Im cool with it. ,PSG_20003023,Im cool with it. ,Temp,,1,,,,,,281; 282; 3000; 3001; 3002; 3003; 3004; 3005; 3006; 3007; 3008; 3009; 3010; 3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
